,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13
12,#VariableRefreshSupport:None,#VariableRefreshSupport:ProMotion,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None
13,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:120 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:120 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz
14,#GraphicsProcessor:Apple M1,#GraphicsProcessor:Apple M2 Max (38-core),#GraphicsProcessor:Intel Iris Xe Graphics,#GraphicsProcessor:Qualcomm Adreno GPU,#GraphicsProcessor:Nvidia GeForce RTX 3060,#GraphicsProcessor:AMD Radeon Graphics,#GraphicsProcessor:Intel Iris Xe Graphics,#GraphicsProcessor:Nvidia GeForce GTX 1650 Ti (Max-Q),#GraphicsProcessor:Intel Iris Xe,#GraphicsProcessor:Intel UHD Graphics
15,#GraphicsMemory:,#GraphicsMemory:,#GraphicsMemory:,#GraphicsMemory:,#GraphicsMemory:6 GB,#GraphicsMemory:,#GraphicsMemory:,#GraphicsMemory:4 GB,#GraphicsMemory:,#GraphicsMemory:
16,"#WirelessNetworking:802.11ax, Bluetooth","#WirelessNetworking:Wi-Fi 6E, Bluetooth 5.3","#WirelessNetworking:Wi-Fi 6E, Bluetooth","#WirelessNetworking:Wi-Fi 6E, Bluetooth, 5G","#WirelessNetworking:Wi-Fi 6E, Bluetooth","#WirelessNetworking:802.11ax (Wi-Fi 6), Bluetooth","#WirelessNetworking:802.11ax, Bluetooth","#WirelessNetworking:802.11ax (Wi-Fi 6), Bluetooth","#WirelessNetworking:Wi-Fi 6E, Bluetooth","#WirelessNetworking:802.11ax (Wi-Fi 6), Bluetooth"
17,#DimensionsHwd:0.63 by 11.97 by 8.36 inches,#DimensionsHwd:0.66 by 14 by 9.8 inches,#DimensionsHwd:0.64 by 11.7 by 8.7 inches,#DimensionsHwd:0.37 by 11.3 by 8.2 inches,#DimensionsHwd:0.78 by 14.1 by 9.9 inches,#DimensionsHwd:0.72 by 12.13 by 8.12 inches,#DimensionsHwd:0.63 by 12.7 by 8.4 inches,#DimensionsHwd:0.71 by 12.3 by 8.8 inches,#DimensionsHwd:0.7 by 14.9 by 10.2 inches,#DimensionsHwd:2.1 by 11.3 by 9.3 inches
18,#Weight:2.8 lbs,#Weight:4.8 lbs,#Weight:2.2 lbs,#Weight:1.95 lbs,#Weight:5.12 pounds,#Weight:2.91 lbs,#Weight:2.71 lbs,#Weight:3.3 lbs,#Weight:2.98 lbs,#Weight:4.9 lbs
19,#OperatingSystem:Apple macOS,#OperatingSystem:Apple macOS Ventura,#OperatingSystem:Windows 11 Pro,#OperatingSystem:Windows 11,#OperatingSystem:Windows 11 Home,#OperatingSystem:Windows 11,#OperatingSystem:,#OperatingSystem:Windows 10 Home,#OperatingSystem:Windows 11,#OperatingSystem:Windows 10 Pro
20,#TestedBatteryLifeHoursMinutes:29:01,#TestedBatteryLifeHoursMinutes:26:51,#TestedBatteryLifeHoursMinutes:15:04,#TestedBatteryLifeHoursMinutes:21:16,#TestedBatteryLifeHoursMinutes:15:00,#TestedBatteryLifeHoursMinutes:19:11,#TestedBatteryLifeHoursMinutes:16:47,#TestedBatteryLifeHoursMinutes:19:45,#TestedBatteryLifeHoursMinutes:20:09,#TestedBatteryLifeHoursMinutes:21:37
21,#WhereToBuy:$708.99;at Amazon;(Opens in a new window);$799.99;at Best Buy;(Opens in a new window),"#WhereToBuy:$2,499.00;at Apple.com;(Opens in a new window)","#WhereToBuy:$1,952.30;at HP;(Opens in a new window)","#WhereToBuy:$1,199.99;at Amazon;(Opens in a new window);$1,199.99;at Best Buy;(Opens in a new window)","#WhereToBuy:$1,389.99;at HP;(Opens in a new window)",#WhereToBuy:$699.00;at Amazon;(Opens in a new window);$614.99;at Lenovo;(Opens in a new window),#WhereToBuy:$568.00;at Amazon;(Opens in a new window),"#WhereToBuy:$1,399.99;at HP;(Opens in a new window);$809.00;at Amazon;(Opens in a new window)","#WhereToBuy:$1,699.99;at Amazon;(Opens in a new window)","#WhereToBuy:$2,899.00;at Amazon;(Opens in a new window);$2,839.99;at CDW;(Opens in a new window)"
