,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14
10,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:
11,#PanelTechnology:LCD,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:LTPS,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:LCD,#PanelTechnology:IPS,#PanelTechnology:TN
12,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:G-Sync,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None
13,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:165 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz
14,#GraphicsProcessor:Intel Iris Xe,#GraphicsProcessor:Intel Iris Xe Graphics,#GraphicsProcessor:Intel Iris Xe Graphics,#GraphicsProcessor:Intel UHD Graphics,#GraphicsProcessor:AMD Radeon Graphics,#GraphicsProcessor:Intel UHD Graphics,#GraphicsProcessor:Nvidia GeForce RTX 3060,#GraphicsProcessor:ARM Mali-G57 MC5,#GraphicsProcessor:Arm Mali-G57,#GraphicsProcessor:Qualcomm Adreno GPU,#GraphicsProcessor:AMD Radeon Graphics
15,#GraphicsMemory:,#GraphicsMemory:,#GraphicsMemory:,#GraphicsMemory:,#GraphicsMemory:,#GraphicsMemory:,#GraphicsMemory:6 GB,#GraphicsMemory:,#GraphicsMemory:,#GraphicsMemory:,#GraphicsMemory:
16,"#WirelessNetworking:802.11ax (Wi-Fi 6), Bluetooth","#WirelessNetworking:802.11ax (Wi-Fi 6), Bluetooth","#WirelessNetworking:Bluetooth, 802.11ax (Wi-Fi 6)",#WirelessNetworking:Wi-Fi 6E,"#WirelessNetworking:802.11ax, Bluetooth","#WirelessNetworking:802.11ax (Wi-Fi 6), Bluetooth","#WirelessNetworking:Wi-Fi 6E, Bluetooth","#WirelessNetworking:802.11ax (Wi-Fi 6), Bluetooth","#WirelessNetworking:802.11ac, Bluetooth",#WirelessNetworking:802.11ac,"#WirelessNetworking:802.11ac, Bluetooth"
17,#DimensionsHwd:0.62 by 10.95 by 8.12 inches,#DimensionsHwd:0.7 by 14.3 by 9.4 inches,#DimensionsHwd:0.69 by 12.3 by 8.9 inches,#DimensionsHwd:0.35 by 11.22 by 7.36 inches,#DimensionsHwd:0.81 by 15.78 by 10.15 inches,#DimensionsHwd:0.78 by 14.1 by 9.3 inches,#DimensionsHwd:0.95 by 14.1 by 10.3 inches,#DimensionsHwd:0.66 by 12.7 by 8.9 inches,#DimensionsHwd:0.7 by 10.6 by 8.5 inches,#DimensionsHwd:10.15 by 6.47 by 0.31 inches,#DimensionsHwd:0.78 by 12.88 by 9.25 inches
18,#Weight:2.48 lbs,#Weight:3.9 lbs,#Weight:3.31 lbs,#Weight:2.53 lbs,#Weight:4.58 lbs,#Weight:3.6 lbs,#Weight:5.29 lbs,#Weight:2.87 lbs,#Weight:2.5 lbs,#Weight:2.09 lbs,#Weight:3.09 lbs
19,#OperatingSystem:Windows 11,#OperatingSystem:Windows 11 Home,#OperatingSystem:Windows 11 Home,#OperatingSystem:Windows 11,#OperatingSystem:Windows 11 Home,#OperatingSystem:Windows 11 Pro,#OperatingSystem:Windows 11 Home,#OperatingSystem:Chrome OS,#OperatingSystem:Chrome OS,#OperatingSystem:Chrome OS,#OperatingSystem:Windows 10 S
20,#TestedBatteryLifeHoursMinutes:12:35,#TestedBatteryLifeHoursMinutes:11:32,#TestedBatteryLifeHoursMinutes:10:36,#TestedBatteryLifeHoursMinutes:8:25,#TestedBatteryLifeHoursMinutes:11:01,#TestedBatteryLifeHoursMinutes:11:01,#TestedBatteryLifeHoursMinutes:7:13,#TestedBatteryLifeHoursMinutes:11:07,#TestedBatteryLifeHoursMinutes:6:23,#TestedBatteryLifeHoursMinutes:6:01,#TestedBatteryLifeHoursMinutes:12:01
21,#WhereToBuy:$641.29;at Amazon;(Opens in a new window);$699.99;at Best Buy;(Opens in a new window),#WhereToBuy:$599.99;at Acer;(Opens in a new window),#WhereToBuy:$729.99;at Lenovo;(Opens in a new window),#WhereToBuy:$529.99;at Lenovo;(Opens in a new window),#WhereToBuy:$649.99;at HP;(Opens in a new window),#WhereToBuy:$529.99;at Amazon;(Opens in a new window),"#WhereToBuy:$1,048.79;at Lenovo;(Opens in a new window)",#WhereToBuy:$349.99;at Amazon;(Opens in a new window),#WhereToBuy:$296.99;at Amazon;(Opens in a new window),#WhereToBuy:$379.00;at Lenovo;(Opens in a new window);$379.00;at Best Buy;(Opens in a new window),#WhereToBuy:$181.32;at Amazon;(Opens in a new window)
